"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"escala";0,007;-1,456;14,063;-0,572;-1,531
"entregar";-0,131;-0,404;0,531;-1,66;3,26
"elite";-0,054;-0,25;-1,291;7,303;-2,043
"doença";0,079;-1,212;0,159;1,984;-1,275
"dividir";-1,836;-2,43;10,999;-0,561;0,586
"declaração";1,625;-0,576;-0,125;-2,058;2,413
"dado";-0,229;0,002;0,318;1,712;-2,556
"criança";-1,284;0,37;-1,129;2,26;-0,156
"convencer";-0,229;-0,576;-1,615;3,976;-0,001
"construção";-1,836;0,708;-1,615;3,976;-0,657
"conservadorismo";-0,131;-2,186;13,17;-1,66;0,021
"concordar";-0,229;-0,576;2,195;-0,561;0,586
"concepção";-1,468;-1,942;0,836;7,303;-2,043
"comunidade";-1,836;-2,43;5,755;3,976;-2,556
"comportamento";-1,836;-0,576;17,926;-2,058;-0,001
"complexo";0,158;-0,576;-1,615;3,976;-0,657
"comparar";-1,652;-0,404;13,17;-1,66;0,021
"capital";18,126;0,043;-1,452;-1,66;-2,299
"brasília";-0,549;-0,727;-0,483;0,008;3,995
"aula";0,079;1,344;-0,806;0,193;-1,275
"ativista";-1,1;-1,456;0,04;-0,572;8,001
"aproveitar";-1,468;-0,25;-1,291;0,163;4,382
"agricultor";-0,131;-2,186;-1,452;-0,32;12,016
"agente";11,113;-2,186;-1,452;-4,044;3,26
"afastar";-1,836;-0,576;2,195;1,712;-0,657
"advogado";-0,054;-1,942;3,763;0,163;-0,301
"órgão";0,279;-0,97;4,388;-0,066;-1,02
"áfrica";-1,652;-2,186;-0,057;14,214;-2,299
"violento";-1,652;0,043;-1,452;-4,044;18,464
"versão";-1,1;0,736;-0,967;0,016;0,633
"vermelho";-1,284;0,37;-1,129;-0,909;5,897
"vaga";0,316;-2,186;-0,057;-1,66;6,948
"técnico";7,606;0,001;-0,806;-0,28;-1,275
"técnica";0,079;0,001;2,872;-0,28;-1,275
"tensão";-0,054;-0,25;8,792;-0,132;-2,043
"tamanho";-1,284;12,076;-1,129;-0,018;-1,787
"subsídio";-1,468;15,771;-1,291;-1,275;-0,301
"sr";12,069;-1,456;-0,967;0,016;-1,531
"sistemático";-1,1;-0,03;24,339;-2,692;-1,531
"sexta_feira";0,316;1,105;-0,057;-1,66;0,021
"salário";-1,652;19,571;-1,452;-4,044;0,021
"ruir";-0,131;-2,186;42,635;-4,044;-2,299
"ricardo";5,491;3,571;-0,967;-2,692;-1,531
"reunir";-0,054;-0,25;-0,012;1,368;-0,301
"retórica";-1,652;-2,186;13,17;0,025;-0,47
"retomar";-0,054;0,156;-1,291;-3,593;8,844
"restrito";-0,549;4,263;0,956;-1,344;-0,765
"restar";0,559;0,156;-1,291;-1,275;1,47
"renúncia";2,208;-2,186;-0,057;-4,044;6,948
"referência";-1,284;-0,121;4,951;-0,909;0,298
"recessão";-1,652;3,588;0,531;-0,32;-0,47
"racismo";-1,468;-1,942;-1,291;17,935;-2,043
"promessa";4,032;-1,699;0,001;-0,018;-0,156
"premiê";0,316;-2,186;-1,452;-4,044;18,464
"planeta";-1,468;-0,25;-1,291;-1,275;14,858
"permanente";-1,652;7,494;0,531;-0,32;-2,299
"percepção";0,316;-0,404;7,087;-0,32;-2,299
"paz";0,316;-0,404;-1,452;-1,66;6,948
"pai";-1,652;-2,186;-1,452;14,214;-0,47
"padrão";-1,652;-2,186;-0,057;5,405;0,021
"pacheco";6,027;0,367;-0,483;-1,344;-0,765
"oposto";0,559;-1,942;3,763;-1,275;0,11
"oficial";-1,468;-1,942;3,763;1,368;-0,301
"nyt";-1,468;-1,942;-0,012;-0,132;8,844
"nobel";-1,468;-1,942;-1,291;12,031;-0,301
"natural";4,032;-0,121;0,001;-0,018;-1,787
"mover";-1,652;-2,186;13,17;0,025;-0,47
"miséria";0,559;0,156;-0,012;-0,132;-0,301
"matar";-1,468;-1,942;-0,012;-0,132;8,844
"marca";-1,468;-0,25;-0,012;0,163;1,47
"mandar";0,316;-0,404;-1,452;-1,66;6,948
"luna";49,405;-2,186;-1,452;-4,044;-2,299
"linguagem";-1,284;-1,699;0,001;9,869;-1,787
"limitar";-0,054;4,765;-0,012;-1,275;-0,301
"jurídico";0,079;-1,212;18,376;-2,243;-1,275
"juntar";-1,468;-0,25;-0,012;-1,275;8,844
"irresponsabilidade";-1,652;19,571;-1,452;-4,044;0,021
"intervencionismo";21,773;-0,25;-1,291;-3,593;-0,301
"interromper";-0,007;0,37;-1,129;-0,909;2,211
"individual";-0,131;-2,186;21,122;-0,32;-2,299
"indiano";-0,916;-1,212;0,159;0,193;1,204
"incompetência";-0,733;2,379;0,417;-1,793;0,055
"imunização";2,984;0,156;-1,291;-1,275;0,11
"imediato";-1,652;12,821;-1,452;-0,32;-0,47
"ignorância";-0,054;0,156;0,836;-0,132;-0,301
"hospital";0,734;0,367;-0,483;0,008;-0,765
"hipótese";-1,652;7,494;-1,452;0,774;-2,299
"guarda";-1,468;-1,942;3,763;-1,275;4,382
"fóssil";-1,652;37,336;-1,452;-4,044;-2,299
"forçar";-1,652;0,043;-1,452;0,025;3,26
"fiel";-1,468;0,156;0,836;-0,132;0,11
"fevereiro";-1,468;1,661;-1,291;-3,593;8,844
"fechamento";-1,468;4,765;0,836;-0,132;-2,043
"fascismo";-1,468;-1,942;-1,291;17,935;-2,043
"fantasia";-1,652;-2,186;-0,057;5,405;0,021
"extremista";-1,652;-0,404;-1,452;2,567;0,951
"exigência";0,007;-0,03;1,914;-0,572;-0,049
"evidência";-0,054;-0,25;0,836;-0,132;0,11
"establishment";-0,131;-2,186;-1,452;-0,32;12,016
"esquecer";-0,054;-1,942;8,792;-3,593;1,47
"especial";-0,131;0,043;0,531;0,025;-0,47
"equilíbrio";21,773;-0,25;-1,291;-1,275;-2,043
"enviar";0,559;0,156;-1,291;-1,275;1,47
"entendimento";1,47;0,736;-0,967;0,016;-1,531
"dúvida";-1,468;-0,25;-0,012;1,368;0,11
"draghi";-1,652;-2,186;-1,452;-4,044;35,496
"divisão";-1,652;-0,404;-1,452;9,287;-0,47
"distribuição";9,334;-0,121;1,275;-3,142;-1,787
"dispensar";-0,131;0,043;13,17;-1,66;-2,299
"disparar";0,924;6,347;-1,129;-3,142;-0,156
"diminuir";-0,007;12,076;-1,129;-0,909;-1,787
"desacreditar";-1,468;-1,942;36,492;-1,275;-2,043
"derrubar";11,113;-0,404;-1,452;-1,66;0,021
"declarar";-1,284;-0,121;-1,129;-3,142;18,584
"cálculo";2,984;1,661;-1,291;-3,593;0,11
"converter";-0,131;-2,186;-1,452;9,287;-0,47
"conteúdo";0,007;-1,456;24,339;-2,692;-1,531
"condenar";-1,468;-1,942;0,836;-0,132;4,382
"conceito";-1,1;-1,456;0,04;7,737;-1,531
"conceder";2,984;1,661;0,836;-3,593;-2,043
"comércio";-1,284;0,37;0,001;-0,909;2,211
"compra";-1,1;3,571;-0,967;-0,572;0,633
"completo";0,924;2,445;0,001;-0,909;-1,787
"comandar";-1,468;-1,942;-1,291;-1,275;22,423
"colapso";-0,916;20,707;-0,806;-2,243;-1,275
"caos";-0,131;-0,404;7,087;-0,32;-0,47
"brexit";-1,468;-1,942;-1,291;-0,132;14,858
"bloco";-1,284;-0,121;-1,129;-3,142;18,584
"bilionário";-0,131;-2,186;-1,452;-4,044;26,29
"baseado";-0,131;-2,186;-0,057;2,567;0,021
"andré";-0,916;-1,212;-0,806;0,193;4,886
"analisar";-0,007;-1,699;0,001;2,26;-0,156
"amazona";-0,733;-0,97;0,417;-0,066;2,187
"alinhar";-0,131;-2,186;7,087;-4,044;3,26
"acrescentar";-1,468;-1,942;-0,012;7,303;-0,301
"vulnerável";-1,468;-1,942;-1,291;7,303;0,11
"voz";-0,007;-1,699;1,275;-3,142;5,897
"virtude";-0,916;-1,212;0,159;5,651;-1,275
"vantagem";-1,468;4,765;0,836;-0,132;-2,043
"usp";-1,1;-0,03;6,588;0,016;-1,531
"tático";-1,284;-1,699;4,951;-0,909;2,211
"tv";-1,284;-1,699;-1,129;0,468;5,897
"total";-0,007;6,347;0,001;-3,142;-0,156
"temor";7,328;0,156;-0,012;-1,275;-2,043
"sério";-0,054;-1,942;-0,012;7,303;-2,043
"sustentar";-0,007;-0,121;1,275;-0,018;-0,156
"semelhante";-1,284;-1,699;-1,129;9,869;-0,156
"rumo";2,984;0,156;-1,291;-0,132;-0,301
"revelar";12,069;-0,03;0,04;-2,692;-1,531
"religião";-0,733;-0,97;0,417;3,645;-1,02
"relacionar";-0,916;-1,212;0,159;5,651;-1,275
"reduzido";-0,054;1,661;-1,291;-0,132;0,11
"prejudicar";-1,468;-0,25;3,763;-0,132;0,11
"prefeito";5,491;-0,03;0,04;-0,572;-1,531
"precedente";-1,284;-1,699;4,951;-0,018;0,298
"potência";-0,054;-0,25;0,836;-1,275;1,47
"posto";-0,054;-0,25;-0,012;-1,275;4,382
"português";-1,284;-1,699;0,001;-0,018;5,897
"portugal";4,032;-1,699;-1,129;-3,142;5,897
"polônia";-1,284;-1,699;0,001;-3,142;18,584
"planejamento";-1,284;2,445;-1,129;2,26;-1,787
"pertencer";-1,284;-1,699;-1,129;9,869;-0,156
"perdido";9,334;-1,699;-1,129;-0,018;-0,156
"perda";21,773;-1,942;-1,291;-1,275;-0,301
"particular";-0,007;-0,121;-1,129;2,26;-0,156
"parar";-1,468;-1,942;-0,012;1,368;1,47
"pacote";0,007;3,571;-0,967;-2,692;0,633
"orçamentário";-0,054;23,673;-1,291;-3,593;-2,043
"operação";2,309;-1,212;-0,806;-0,28;1,204
"objetivo";-0,054;9,469;-0,012;-3,593;-0,301
"obama";-1,468;-0,25;-1,291;-3,593;22,423
"nota";2,984;0,156;-1,291;-0,132;-0,301
"negociação";-1,468;-1,942;-1,291;-3,593;31,539
"negociar";0,079;0,001;-0,806;-2,243;4,886
"negacionismo";-0,054;-0,25;-0,012;-0,132;1,47
"nacionalismo";-1,468;-1,942;3,763;0,163;0,11
"máximo";0,007;-1,456;-0,967;3,599;-0,049
"moraes";-0,916;-1,212;31,167;-2,243;-1,275
"modelo";-1,468;-0,25;-0,012;7,303;-2,043
"minar";-1,284;0,37;4,951;-0,018;-1,787
"milhar";-0,054;1,661;-1,291;0,163;-0,301
"meta";-0,007;6,347;-1,129;-0,909;-0,156
"mentir";0,924;-1,699;0,001;0,468;-0,156
"macron";-1,468;-1,942;-1,291;-0,132;14,858
"jurar";2,984;1,661;-1,291;-1,275;-0,301
"julho";2,984;0,156;-1,291;-3,593;1,47
"josé";13,591;-1,942;-1,291;0,163;-2,043
"intimidar";0,279;-0,97;0,417;0,683;-1,02
"intervencionista";31,875;-0,25;-1,291;-3,593;-2,043
"interpretação";1,47;0,736;-0,967;0,016;-1,531
"intelectual";-1,284;-1,699;0,001;9,869;-1,787
"instância";0,734;0,367;-0,483;0,008;-0,765
"infra-estrutura";-0,916;11,698;-0,806;-2,243;0
"hostilidade";-1,468;-1,942;15,923;-0,132;-0,301
"gasolina";-1,284;6,347;-1,129;-0,909;0,298
"funcionamento";-1,468;4,765;0,836;-0,132;-2,043
"frágil";-1,468;-1,942;-1,291;0,163;8,844
"fernando";16,426;-0,727;-0,483;-1,344;-0,765
"favorável";0,007;0,736;0,04;0,016;-1,531
"fanático";0,559;-1,942;-1,291;1,368;0,11
"falha";-0,007;-1,699;0,001;5,394;-1,787
"explodir";0,007;3,571;0,04;-0,572;-1,531
"exceção";-1,468;-1,942;0,836;-1,275;8,844
"eventual";5,491;-0,03;1,914;-2,692;-1,531
"estratégico";-0,733;7,872;-0,644;-1,793;0,055
"estranho";0,007;-0,03;-0,967;3,599;-1,531
"espalhar";0,007;-1,456;-0,967;3,599;-0,049
"escândalo";-0,916;1,344;-0,806;1,984;-1,275
"enxergar";0,559;-1,942;-1,291;7,303;-2,043
"entrada";-1,1;-0,03;-0,967;3,599;-0,049
"empresariado";21,773;-0,25;-1,291;-1,275;-2,043
"emergência";0,559;0,156;-0,012;-0,132;-0,301
"emenda";-1,468;15,771;-0,012;-1,275;-2,043
"domingo";2,309;5,243;-0,806;-2,243;-1,275
"dito";-1,284;0,37;-1,129;5,394;-1,787
"distante";0,007;-1,456;-0,967;3,599;-0,049
"diminuição";-1,468;9,469;0,836;-1,275;-2,043
"dimensão";-1,468;0,156;3,763;0,163;-2,043
"destruir";-0,054;0,156;-0,012;1,368;-2,043
"destinar";-1,284;-0,121;11,028;-3,142;0,298
"desmatamento";-1,284;-0,121;-1,129;-0,909;11,354
"desemprego";-1,468;23,673;-1,291;-1,275;-2,043
"dependente";-1,284;2,445;1,275;-0,909;-0,156
"crer";-0,007;0,37;0,001;-0,018;-0,156
"cooperação";-1,284;-1,699;-1,129;9,869;-0,156
"conversar";0,559;-1,942;-0,012;3,748;-2,043
"contemporâneo";-1,284;-1,699;0,001;0,468;2,211
"constituir";-1,284;-1,699;1,275;2,26;-0,156
"conhecer";-1,1;-0,03;0,04;3,599;-1,531
"conduzir";-1,284;-0,121;-1,129;5,394;-0,156
"comunista";-1,284;-1,699;0,001;5,394;-0,156
"chanceler";-0,733;-0,97;-0,644;-1,793;15,743
"cadeia";0,007;3,571;-0,967;-0,572;-0,049
"cabeça";-0,916;0,001;-0,806;0,193;1,204
"bucci";-1,468;-1,942;36,492;-1,275;-2,043
"bolsonaristas";-0,916;-1,212;0,159;1,984;0
"bolsonarismo";-0,007;-1,699;11,028;-0,018;-1,787
"bastar";-1,468;1,661;0,836;-0,132;-0,301
"basear";-1,284;-1,699;0,001;5,394;-0,156
"atitude";0,007;-0,03;0,04;0,016;-0,049
"atender";-1,468;23,673;-1,291;-1,275;-2,043
"associação";-1,1;-1,456;1,914;0,016;0,633
"assistir";-0,054;-1,942;-1,291;-1,275;14,858
"assassinato";-1,468;1,661;-0,012;-3,593;4,382
"asiático";-1,284;-1,699;-1,129;-0,018;11,354
"apelo";-1,468;-1,942;-1,291;17,935;-2,043
"antidemocrático";0,007;-1,456;-0,967;0,016;3,284
"antecipar";-0,054;-1,942;-1,291;-0,132;8,844
"ana";-0,733;0,078;-0,644;-0,066;2,187
"amor";0,079;-1,212;-0,806;0,193;1,204
"aguardar";0,079;-1,212;-0,806;-2,243;11,047
"administrar";-1,1;8,537;-0,967;-0,572;-0,049
"adiantar";0,559;-1,942;-1,291;7,303;-2,043
"absoluto";0,007;-0,03;1,914;0,016;-1,531
"vice_presidente";-0,916;-1,212;-0,806;-2,243;19,687
"verificar";0,279;-0,97;0,417;0,683;-1,02
"venezuela";0,924;-1,699;-1,129;-3,142;11,354
"utilizar";-1,1;3,571;6,588;-2,692;-1,531
"turquia";-1,1;-1,456;0,04;-2,692;14,784
"troca";4,032;-0,121;0,001;-3,142;0,298
"transparência";-0,007;-1,699;11,028;-0,018;-1,787
"tarifa";32,895;-1,456;-0,967;-2,692;-1,531
"símbolo";-0,549;-0,727;-0,483;0,008;3,995
"suspeito";0,734;0,367;-0,483;-1,344;0,316
"sudeste";-0,916;-1,212;-0,806;-0,28;11,047
"sigla";-1,1;-1,456;-0,967;-0,572;14,784
"setembro";-0,916;-1,212;0,159;-0,28;4,886
"senso";-0,916;0,001;0,159;1,984;-1,275
"semestre";-1,284;12,076;-1,129;-3,142;0,298
"selic";-1,284;29,014;-1,129;-3,142;-1,787
"sedição";-0,916;-1,212;-0,806;5,651;0
"rápido";-1,1;-1,456;0,04;-2,692;14,784
"resgate";-0,007;-0,121;-1,129;-0,909;5,897
"repórter";0,007;-1,456;14,063;-2,692;-0,049
"renovar";2,309;0,001;-0,806;-0,28;0
"relator";6,027;-0,727;0,956;-1,344;-0,765
"rejeição";-1,284;-1,699;-1,129;2,26;2,211
"referir";0,007;-1,456;-0,967;0,016;3,284
"recusar";-1,284;-0,121;-1,129;2,26;0,298
"receita";-1,284;19,632;-1,129;-0,909;-1,787
"quebrar";16,828;-1,699;-1,129;-0,018;-1,787
"quantidade";2,309;0,001;-0,806;0,193;-1,275
"prêmio";-1,1;-1,456;0,04;3,599;-0,049
"protocolo";0,007;-0,03;-0,967;-0,572;3,284
"projeção";5,491;-0,03;-0,967;0,016;-1,531
"produtor";0,279;0,078;0,417;-1,793;0,055
"prestar";-0,007;0,37;1,275;-0,018;-1,787
"praticar";-1,1;0,736;6,588;-0,572;-1,531
"polarizar";-1,284;-1,699;0,001;5,394;-0,156
"pleno";-1,284;2,445;0,001;0,468;-1,787
"pilar";-0,007;-1,699;19,508;-3,142;-0,156
"perigoso";-1,284;-1,699;19,508;-3,142;0,298
"perguntar";0,007;-0,03;-0,967;1,025;-0,049
"pena";-0,007;-0,121;11,028;-0,909;-1,787
"pele";-0,916;-1,212;-0,806;11,195;-1,275
"pedido";21,911;-0,97;-0,644;-1,793;-1,02
"patamar";-1,1;24,859;-0,967;-2,692;-1,531
"parcela";-0,007;0,37;1,275;-0,909;-0,156
"paralelo";-0,007;2,445;0,001;-3,142;0,298
"ouvido";12,069;-1,456;0,04;-0,572;-1,531
"opção";-0,007;0,37;-1,129;-0,018;0,298
"oferta";-1,284;29,014;-1,129;-3,142;-1,787
"of";-1,1;-1,456;-0,967;7,737;-0,049
"ocidental";-1,1;-1,456;1,914;1,025;-0,049
"obter";0,007;-0,03;-0,967;-0,572;3,284
"observar";5,491;-0,03;-0,967;-0,572;-0,049
"núcleo";-1,284;0,37;11,028;-3,142;-0,156
"novembro";0,924;6,347;-1,129;-3,142;-0,156
"normal";1,47;-0,03;-0,967;-0,572;0,633
"new";-0,007;0,37;-1,129;-0,909;2,211
"méxico";-1,284;-0,121;-1,129;-3,142;18,584
"método";-1,1;-1,456;-0,967;3,599;0,633
"monetário";5,491;3,571;-0,967;-2,692;-1,531
"miranda";26,514;-1,699;-1,129;-0,909;-1,787
"mina";0,734;-0,727;-0,483;0,008;0,316
"miliciano";-1,1;-1,456;1,914;1,025;-0,049
"michel";26,514;-1,699;-1,129;-0,909;-1,787
"material";-0,916;1,344;0,159;-0,28;0
"margem";0,924;2,445;0,001;-3,142;-0,156
"manobra";-1,284;2,445;-1,129;-0,909;2,211
"manhã";-0,733;0,078;0,417;-1,793;2,187
"luiz";16,426;-0,727;-0,483;-1,344;-0,765
"lição";-0,007;-1,699;1,275;-3,142;5,897
"limitado";9,334;-0,121;0,001;-0,909;-1,787
"liberação";6,027;-0,727;-0,483;0,008;-0,765
"joão";1,47;-0,03;-0,967;-0,572;0,633
"joaquim";16,828;-1,699;1,275;-3,142;-1,787
"inédito";-0,007;-1,699;11,028;-0,909;-0,156
"interessar";-1,284;-1,699;11,028;0,468;-1,787
"integrar";-0,733;-0,97;4,388;-0,066;0,055
"insurreição";-1,284;-1,699;0,001;-0,909;11,354
"instrumento";-1,1;0,736;0,04;1,025;-1,531
"insistir";-0,916;-1,212;-0,806;5,651;0
"iniciar";-1,1;0,736;-0,967;-2,692;8,001
"inevitável";-1,284;0,37;-1,129;-0,909;5,897
"indicador";4,032;0,37;0,001;-0,909;-1,787
"incapacidade";-0,007;-0,121;-1,129;5,394;-1,787
"impulsionar";0,007;0,736;-0,967;0,016;-0,049
"implicar";-1,284;-1,699;4,951;2,26;-1,787
"igual";0,007;-1,456;0,04;3,599;-1,531
"ideólogo";-0,733;-0,97;-0,644;8,952;-1,02
"hungria";-1,284;-1,699;0,001;-3,142;18,584
"hostil";4,032;-1,699;0,001;-0,909;0,298
"homicídio";-1,1;24,859;-0,967;-2,692;-1,531
"gênero";-1,284;-1,699;-1,129;15,686;-1,787
"gatilho";-1,1;15,633;-0,967;-2,692;-0,049
"gastar";-0,007;12,076;-1,129;-3,142;-0,156
"fundador";0,007;-1,456;0,04;0,016;0,633
"fuga";0,079;-1,212;-0,806;5,651;-1,275
"fonte";-0,916;5,243;0,159;-0,28;-1,275
"firbida";-1,284;-1,699;30,388;-0,909;-1,787
"financiar";-1,1;24,859;-0,967;-2,692;-1,531
"filosofia";-1,284;-1,699;0,001;9,869;-1,787
"fila";0,007;-0,03;-0,967;-2,692;8,001
"ficção";0,734;0,367;-0,483;0,008;-0,765
"fascista";-1,284;-1,699;-1,129;9,869;-0,156
"fake";-1,1;-0,03;24,339;-2,692;-1,531
"extremismo";-0,733;-0,97;-0,644;-0,066;7,416
"expor";-0,007;0,37;11,028;-3,142;-1,787
"exercício";-1,1;-1,456;24,339;-0,572;-1,531
"ex_ministro";12,069;-1,456;-0,967;-2,692;0,633
"estrutural";0,924;0,37;0,001;-0,018;-1,787
"estatuto";5,491;-0,03;0,04;-0,572;-1,531
"estabilidade";-0,007;-0,121;0,001;-3,142;5,897
"espiritual";-1,1;-1,456;-0,967;13,44;-1,531
"específico";-0,916;0,001;0,159;1,984;-1,275
"especializado";-1,1;-1,456;-0,967;3,599;0,633
"escalada";9,334;-1,699;-1,129;-0,018;-0,156
"errar";5,491;-1,456;0,04;0,016;-1,531
"ensino";-1,284;0,37;0,001;-0,018;0,298
"ensinar";-1,1;-1,456;-0,967;13,44;-1,531
"ensaiar";-0,916;1,344;2,872;-0,28;-1,275
"elevar";-1,284;12,076;0,001;-0,909;-1,787
"eleito";1,47;-1,456;0,04;-2,692;3,284
"editor";-1,1;-1,456;-0,967;13,44;-1,531
"durar";-0,007;-1,699;0,001;-0,909;5,897
"dramático";4,032;-1,699;0,001;0,468;-1,787
"doutrinário";-1,284;-1,699;0,001;9,869;-1,787
"doutrina";-1,284;-1,699;-1,129;5,394;0,298
"doria";3,658;0,078;-0,644;-0,066;-1,02
"distribuir";0,007;3,571;0,04;-0,572;-1,531
"discursivo";-0,916;-1,212;2,872;0,193;0
"dificultar";1,47;0,736;-0,967;-0,572;-0,049
"deus";-0,916;-1,212;0,159;1,984;0
"desvalorização";-0,007;19,632;-1,129;-3,142;-1,787
"desenvolver";0,007;-1,456;0,04;1,025;-0,049
"delírio";-1,1;-0,03;-0,967;7,737;-1,531
"decadência";-0,916;-1,212;-0,806;11,195;-1,275
"criminal";-0,549;-0,727;7,023;0,008;-0,765
"crença";-0,916;-1,212;2,872;1,984;-1,275
"correto";-1,284;-0,121;-1,129;9,869;-1,787
"correr";0,924;0,37;-1,129;-0,018;-0,156
"consistente";-1,284;2,445;1,275;-0,018;-1,787
"conselheiro";7,606;-1,212;-0,806;-0,28;0
"conhecimento";0,079;-1,212;0,159;0,193;0
"concreto";-0,007;-0,121;-1,129;-0,018;2,211
"concentrar";1,47;-1,456;0,04;0,016;-0,049
"comprometer";0,924;0,37;1,275;-3,142;-0,156
"commodities";-1,1;24,859;-0,967;-2,692;-1,531
"comissão";6,027;-0,727;-0,483;-1,344;0,316
"colunista";0,924;-1,699;4,951;-0,018;-1,787
"colher";0,924;-0,121;1,275;-0,909;-0,156
"cobertura";-1,1;-1,456;0,04;7,737;-1,531
"circulação";-1,1;8,537;0,04;-0,572;-1,531
"circular";-0,916;-1,212;0,159;5,651;-1,275
"chile";-0,916;-1,212;-0,806;-2,243;19,687
"censura";-1,284;-1,699;11,028;-3,142;2,211
"carolina";-0,007;12,076;-1,129;-0,909;-1,787
"caro";0,924;2,445;0,001;-3,142;-0,156
"carlos";-1,1;-1,456;24,339;-2,692;-0,049
"característica";-1,284;-1,699;1,275;5,394;-1,787
"azul";-0,733;2,379;-0,644;0,683;-1,02
"atraso";-1,1;8,537;0,04;-0,572;-1,531
"aproximar";-0,007;-1,699;-1,129;0,468;2,211
"analista";9,334;-0,121;-1,129;-0,909;-0,156
"ampliação";0,079;1,344;2,872;-2,243;-1,275
"amazônico";-1,284;0,37;1,275;-0,909;0,298
"alegar";-0,733;0,078;0,417;-0,066;0,055
"acadêmico";-0,733;-0,97;-0,644;8,952;-1,02
"abordagem";-0,007;-1,699;1,275;-0,018;0,298
"êxito";-0,916;-1,212;-0,806;-2,243;19,687
"ásia";-1,1;-1,456;-0,967;13,44;-1,531
"água";-0,916;0,001;-0,806;0,193;1,204
"york";5,491;-1,456;-0,967;-0,572;0,633
"wilson";21,911;-0,97;-0,644;-1,793;-1,02
"viabilizar";0,279;0,078;-0,644;-1,793;2,187
"urna";2,309;-1,212;2,872;-0,28;-1,275
"urbano";-1,1;3,571;-0,967;1,025;-1,531
"típico";-1,1;-1,456;1,914;1,025;-0,049
"truculento";10,868;-0,97;-0,644;-0,066;-1,02
"transmitir";0,079;0,001;-0,806;0,193;0
"traduzir";-0,916;0,001;0,159;1,984;-1,275
"tom";0,007;-1,456;-0,967;3,599;-0,049
"testar";-1,1;-0,03;0,04;3,599;-1,531
"terreno";-1,1;-1,456;-0,967;3,599;0,633
"tentação";0,007;-0,03;14,063;-2,692;-1,531
"suspensão";-0,916;5,243;0,159;-0,28;-1,275
"suspeita";0,007;-1,456;-0,967;3,599;-0,049
"surpresa";0,079;-1,212;-0,806;-2,243;11,047
"surpreendente";-1,1;-1,456;-0,967;1,025;3,284
"substituir";0,279;-0,97;0,417;-1,793;2,187
"sombra";-0,916;-1,212;-0,806;11,195;-1,275
"somar";0,079;-1,212;0,159;0,193;0
"soltar";12,069;-1,456;-0,967;-2,692;0,633
"ritmo";-1,1;15,633;0,04;-2,692;-1,531
"rigoroso";0,007;-0,03;-0,967;1,025;-0,049
"revolução";0,079;1,344;-0,806;-0,28;0
"resumo";-0,916;-1,212;0,159;1,984;0
"resumir";-0,916;-1,212;0,159;5,651;-1,275
"restritivo";-0,916;1,344;-0,806;-2,243;4,886
"restaurar";-0,733;-0,97;-0,644;0,683;2,187
"respeitar";-1,1;-1,456;1,914;1,025;-0,049
"representativo";0,279;-0,97;-0,644;3,645;-1,02
"relativo";-1,1;3,571;-0,967;1,025;-1,531
"refém";0,079;-1,212;2,872;-0,28;0
"reflexo";1,47;-0,03;1,914;-2,692;-0,049
"reeleger";-1,1;-1,456;0,04;0,016;3,284
"recado";1,47;3,571;-0,967;-0,572;-1,531
"reacionário";-1,1;-0,03;1,914;1,025;-1,531
"publicação";-0,733;-0,97;-0,644;3,645;0,055
"pronto";0,007;3,571;-0,967;-2,692;0,633
"progresso";-1,1;-1,456;-0,967;13,44;-1,531
"progressista";-1,1;-1,456;1,914;0,016;0,633
"produtivo";0,007;15,633;-0,967;-2,692;-1,531
"procurar";0,007;0,736;0,04;-0,572;-0,049
"privatizar";21,203;-1,456;-0,967;-0,572;-1,531
"previdência";5,491;3,571;-0,967;-2,692;-1,531
"premissa";-0,916;0,001;-0,806;5,651;-1,275
"pregar";-0,916;-1,212;18,376;-2,243;0
"ponta";0,734;-0,727;-0,483;0,008;0,316
"peça";0,279;0,078;-0,644;0,683;-1,02
"personalista";-0,916;-1,212;0,159;5,651;-1,275
"perfeito";-1,1;-1,456;6,588;1,025;-1,531
"paris";-1,1;-1,456;-0,967;-2,692;23,634
"parcial";1,47;-0,03;6,588;-2,692;-1,531
"paes";-0,916;0,001;18,376;-2,243;-1,275
"pacífico";-1,1;-1,456;0,04;0,016;3,284
"opor";-1,1;-1,456;-0,967;-0,572;14,784
"operador";15,97;-1,212;0,159;-2,243;-1,275
"ofensiva";-1,1;-1,456;0,04;0,016;3,284
"noção";-1,1;-0,03;-0,967;7,737;-1,531
"novidade";-0,916;-1,212;-0,806;0,193;4,886
"noite";0,279;-0,97;-0,644;3,645;-1,02
"máscara";-1,1;-1,456;14,063;0,016;-1,531
"mudo";-1,1;-1,456;1,914;3,599;-1,531
"missão";5,491;-1,456;0,04;-0,572;-0,049
"medir";-1,1;0,736;0,04;1,025;-1,531
"matteo";-1,1;-1,456;-0,967;-2,692;23,634
"manutenção";-0,916;11,698;-0,806;-2,243;0
"manso";-0,916;0,001;18,376;-2,243;-1,275
"manifestante";-1,1;-1,456;1,914;-2,692;8,001
"lucro";2,309;5,243;-0,806;-2,243;-1,275
"limpo";-0,916;1,344;2,872;-0,28;-1,275
"libertário";-0,916;-1,212;18,376;-0,28;-1,275
"legítimo";-1,1;-0,03;24,339;-2,692;-1,531
